event_slug,event_title,market_id,question,decision_date,rate_move_bps,rate_move_label,observed_ts,observed_day,close_price
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1712188803.0,2024-04-04,0.0055
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1712275203.0,2024-04-05,0.0055
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1712361603.0,2024-04-06,0.004
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1712448002.0,2024-04-07,0.0025
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1712534403.0,2024-04-08,0.0025
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1712620803.0,2024-04-09,0.0025
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1712707203.0,2024-04-10,0.0025
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1712793603.0,2024-04-11,0.0035
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1712880003.0,2024-04-12,0.006
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1712966402.0,2024-04-13,0.0055
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1713052803.0,2024-04-14,0.005
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1713139203.0,2024-04-15,0.0135
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1713225603.0,2024-04-16,0.0135
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1713312003.0,2024-04-17,0.0125
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1713398403.0,2024-04-18,0.0115
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1713484803.0,2024-04-19,0.0135
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1713571202.0,2024-04-20,0.01
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1713657603.0,2024-04-21,0.01
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1713744003.0,2024-04-22,0.01
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1713830402.0,2024-04-23,0.012
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1713916803.0,2024-04-24,0.0115
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1714003203.0,2024-04-25,0.011
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1714089602.0,2024-04-26,0.0085
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1714176003.0,2024-04-27,0.0085
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1714262403.0,2024-04-28,0.009
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1714348803.0,2024-04-29,0.0085
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500357,Fed raises interest rates by 25+ bps after 2024 May meeting?,2024-04-30,25.0,+25+bps,1714435204.0,2024-04-30,0.0105
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1712188803.0,2024-04-04,0.955
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1712275203.0,2024-04-05,0.8995
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1712361603.0,2024-04-06,0.9605
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1712448002.0,2024-04-07,0.9585
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1712534403.0,2024-04-08,0.9565
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1712620803.0,2024-04-09,0.954
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1712707203.0,2024-04-10,0.9555
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1712793603.0,2024-04-11,0.9675
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1712880003.0,2024-04-12,0.972
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1712966402.0,2024-04-13,0.9715
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1713052803.0,2024-04-14,0.9625
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1713139203.0,2024-04-15,0.9635
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1713225603.0,2024-04-16,0.9645
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1713312003.0,2024-04-17,0.9735
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1713398403.0,2024-04-18,0.9785
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1713484803.0,2024-04-19,0.9785
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1713571202.0,2024-04-20,0.9775
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1713657603.0,2024-04-21,0.9775
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1713744003.0,2024-04-22,0.977
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1713830402.0,2024-04-23,0.9795
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1713916803.0,2024-04-24,0.979
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1714003203.0,2024-04-25,0.9795
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1714089602.0,2024-04-26,0.98
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1714176003.0,2024-04-27,0.982
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1714262403.0,2024-04-28,0.9855
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1714348803.0,2024-04-29,0.9855
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500358,No change in Fed interest rates after 2024 May meeting?,2024-04-30,0.0,0bps,1714435204.0,2024-04-30,0.985
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500359,Fed decreases interest rates by 25 bps after 2024 May meeting?,2024-04-30,,,1712188803.0,2024-04-04,0.036
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500359,Fed decreases interest rates by 25 bps after 2024 May meeting?,2024-04-30,,,1712275203.0,2024-04-05,0.0875
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500359,Fed decreases interest rates by 25 bps after 2024 May meeting?,2024-04-30,,,1712361603.0,2024-04-06,0.0355
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500359,Fed decreases interest rates by 25 bps after 2024 May meeting?,2024-04-30,,,1712448002.0,2024-04-07,0.042
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500359,Fed decreases interest rates by 25 bps after 2024 May meeting?,2024-04-30,,,1712534403.0,2024-04-08,0.0395
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500359,Fed decreases interest rates by 25 bps after 2024 May meeting?,2024-04-30,,,1712620803.0,2024-04-09,0.04
fed-interest-rates-may-2024,Fed Interest Rates: May 2024,500359,Fed decreases interest rates by 25 bps after 2024 May meeting?,2024-04-30,,,1712707203.0,2024-04-10,0.0405
